channel	osName	FxVer	surveyName	datestamp	score	N
release	Darwin	v46	heartbeat-by-user-first-impression	2016-09-05	5	1
release	Darwin	v46	heartbeat-by-user-first-impression	2016-10-03	4	1
release	Darwin	v46	heartbeat-by-user-first-impression	2016-10-12	5	1
release	Darwin	v46	heartbeat-by-user-first-impression	2016-11-08	4	1
release	Darwin	v46	heartbeat-by-user-first-impression	2016-11-12	5	1
release	Darwin	v46	heartbeat-by-user-first-impression	2016-11-30	5	1
release	Darwin	v46	heartbeat-by-user-first-impression	2016-12-01	5	1
release	Darwin	v46	heartbeat-by-user-first-impression	2017-01-09	5	1
release	Darwin	v46	heartbeat-survey-recruitment 	2016-10-21	3.33333333333333	3
release	Darwin	v46	heartbeat-survey-recruitment 	2016-10-22	5	1
release	Darwin	v46	heartbeat-survey-recruitment 	2016-10-26	5	2
release	Darwin	v46	heartbeat-survey-recruitment 	2016-10-27	5	2
release	Darwin	v46	heartbeat-survey-recruitment 	2016-10-29	5	1
release	Darwin	v46	heartbeat-survey-recruitment 	2016-10-30	4	1
release	Darwin	v46	heartbeat-survey-recruitment 	2016-10-31	5	1
release	Darwin	v46	heartbeat-survey-recruitment 	2016-11-03	5	1
release	Darwin	v46	heartbeat-survey-recruitment 	2016-11-08	5	1
release	Darwin	v46	heartbeat-survey-recruitment 	2016-11-09	4	2
release	Darwin	v46	heartbeat-survey-recruitment 	2016-11-10	5	1
release	Darwin	v46	perf1	2017-04-14	4	1
release	Darwin	v46	perf1	2017-04-16	5	1
release	Darwin	v46	perf1	2017-04-26	5	1
release	Darwin	v46	perf1	2017-05-06	5	1
release	Darwin	v46	perf2	2017-04-13	5	1
release	Darwin	v46	perf2	2017-04-16	5	1
release	Darwin	v46	perf2	2017-05-03	4	1
release	Darwin	v46	perf2	2017-05-17	1	1
release	Darwin	v46	slow1	2017-04-04	5	1
release	Darwin	v46	slow1	2017-04-21	5	1
release	Darwin	v46	slow1	2017-04-25	5	1
release	Darwin	v46	slow1	2017-04-27	5	1
release	Darwin	v46	slow2	2017-04-04	5	1
release	Darwin	v46	slow2	2017-04-11	1	1
release	Darwin	v46	slow2	2017-04-15	1	1
release	Darwin	v46	slow2	2017-04-19	5	1
release	Darwin	v46	tel-exp-1	2017-02-26	5	1
release	Darwin	v46	tel-exp-1	2017-03-01	5	2
release	Darwin	v46	tel-exp-2	2017-05-19	3	1
release	Darwin	v46	tel-exp-2	2017-05-23	5	1
release	Darwin	v46	whimsy1	2017-05-01	5	1
release	Darwin	v46	whimsy1	2017-05-11	5	1
release	Darwin	v46	whimsy2	2017-04-20	5	1
release	Darwin	v47	heartbeat-by-user-first-impression	2016-09-04	3	1
release	Darwin	v47	heartbeat-by-user-first-impression	2016-10-10	5	1
release	Darwin	v47	heartbeat-by-user-first-impression	2016-10-13	5	1
release	Darwin	v47	heartbeat-by-user-first-impression	2016-10-18	3	1
release	Darwin	v47	heartbeat-by-user-first-impression	2016-10-23	4	2
release	Darwin	v47	heartbeat-by-user-first-impression	2016-11-17	1	1
release	Darwin	v47	heartbeat-by-user-first-impression	2016-11-18	5	1
release	Darwin	v47	heartbeat-by-user-first-impression	2016-11-22	4	1
release	Darwin	v47	heartbeat-by-user-first-impression	2016-12-19	3	2
release	Darwin	v47	heartbeat-by-user-first-impression	2016-12-20	5	6
release	Darwin	v47	heartbeat-by-user-first-impression	2016-12-21	5	1
release	Darwin	v47	heartbeat-by-user-first-impression	2016-12-23	5	1
release	Darwin	v47	heartbeat-by-user-first-impression	2017-01-07	4.5	2
release	Darwin	v47	heartbeat-by-user-first-impression	2017-01-08	5	1
release	Darwin	v47	heartbeat-by-user-first-impression	2017-01-09	5	1
release	Darwin	v47	heartbeat-by-user-first-impression	2017-01-10	5	1
release	Darwin	v47	heartbeat-by-user-first-impression	2017-01-12	5	1
release	Darwin	v47	heartbeat-survey-recruitment 	2016-10-13	5	1
release	Darwin	v47	heartbeat-survey-recruitment 	2016-10-20	5	2
release	Darwin	v47	heartbeat-survey-recruitment 	2016-10-21	3	3
release	Darwin	v47	heartbeat-survey-recruitment 	2016-10-22	5	3
release	Darwin	v47	heartbeat-survey-recruitment 	2016-10-23	5	4
release	Darwin	v47	heartbeat-survey-recruitment 	2016-10-24	2.5	2
release	Darwin	v47	heartbeat-survey-recruitment 	2016-10-26	3	1
release	Darwin	v47	heartbeat-survey-recruitment 	2016-10-27	5	1
release	Darwin	v47	heartbeat-survey-recruitment 	2016-10-28	3.25	4
release	Darwin	v47	heartbeat-survey-recruitment 	2016-10-29	4.6	5
release	Darwin	v47	heartbeat-survey-recruitment 	2016-10-30	3.5	2
release	Darwin	v47	heartbeat-survey-recruitment 	2016-10-31	3.66666666666667	3
release	Darwin	v47	heartbeat-survey-recruitment 	2016-11-02	4.5	2
release	Darwin	v47	heartbeat-survey-recruitment 	2016-11-04	5	3
release	Darwin	v47	heartbeat-survey-recruitment 	2016-11-08	3.25	4
release	Darwin	v47	perf1	2017-04-07	5	1
release	Darwin	v47	perf1	2017-04-22	5	1
release	Darwin	v47	perf1	2017-04-26	1	1
release	Darwin	v47	perf1	2017-05-05	5	1
release	Darwin	v47	perf2	2017-04-04	5	1
release	Darwin	v47	perf2	2017-04-05	4	1
release	Darwin	v47	perf2	2017-04-06	5	1
release	Darwin	v47	perf2	2017-04-10	1	1
